,cosmo_solubility_g_100g_log,solute_chiral_u,solute_reactive,solute_SlogP_VSA6,solute_SMR_VSA4,solute_PEOE_VSA+4,solute_logP(o/w),solute_PEOE_RPC-,solute_a_ICM,solute_rsynth,solvent_rsynth,solute_PEOE_VSA-0,solute_radius,solute_a_nN,solute_balabanJ,solute_GCUT_PEOE_2,solute_PEOE_RPC+,solute_PEOE_VSA-4,solute_PEOE_VSA_FPOS,solute_SlogP_VSA1
gsk1278863,-0.13028953343492647,0.0,-0.0029889681390435443,-0.01670799455579187,0.0,0.0,0.0,-0.0019908521410666826,-0.0012606349652273068,0.0,-0.020795687855098395,0.0,0.0,-0.01732303099505021,0.0,0.0,0.0,-0.004032238679137373,0.0,0.0
"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol",0.016840423703634342,0.0,0.0,0.0,0.0,-0.1549622310653702,-0.02204851930835484,0.0,0.0,0.0,0.0,0.0,0.0,0.02747651964481133,0.012630432175642881,0.0,0.0,-0.05417956000414166,0.0,0.0
3-pyridinecarboxylic acid,0.034292456144613105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053718172782169886,0.0,-0.017378858447491947,0.0,0.0,0.01542846686075453,0.0,0.0,0.0
gsk2598883a,-0.08857536945803417,0.0,-0.011676895159204356,-0.006327783524176113,0.0,-0.04453151814876708,-0.054468655294671355,-0.01600843069916905,-0.0022802028798071224,0.0,-0.022741233503325974,0.0016331936261409423,-0.004885163651104561,-0.002019925888020404,0.0,0.0,-0.003278349393524206,0.0,0.0,0.0
piroxicam,-0.1629629825585444,0.0,-0.005730380588302378,-0.006407565277271083,-0.061915245539768224,0.010943694015825326,-0.031467372280309415,-0.015496433410329823,-0.014969560998782596,0.0,-0.01579294913387073,0.0,-0.0017697922582932913,-0.012951407629874848,0.0015856491978565456,-0.0027243472039526822,-0.012837869925504064,-0.03838168124505288,0.0,-0.058102192485242635
indomethacin,-0.25908665323616936,0.0,0.0,0.06232928317726109,0.0,0.0,0.07109314408640045,-0.04053239988827618,0.0,0.0,0.0,0.0,0.015296710064248174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sulfapyridine,0.27568459454584987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023918149471229624,0.0,-0.004054683920963416,0.0,0.0,0.0,0.0,-0.05886897979620104,-0.11662495118903662
N-(pyridin-3-ylmethylideneamino)pyridin-2-amine,-0.3509429327774716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14211944771566323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fumaric acid,-0.5783620016222727,0.0,0.0,0.0,0.0,0.0,-0.04392442284303058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114676267023996,0.0,0.0,0.0,0.0,0.0
hydrocortisone,-0.16625789144004358,-0.0034122038694171333,0.0,0.0,0.0,-0.09658989006024944,0.0,-0.0030288681701748075,0.0,-0.010974086497919658,-0.025554267417868568,0.0,0.0,0.0,0.0,0.0,0.0,-0.12012644347820763,-0.005881579443853857,0.0
sulfadiazine,-0.6203913098144705,0.0,-0.0031471287342721955,-0.001245120197797063,-0.037144790809468635,-0.0066459204845220375,-0.058254843665641515,0.0,-0.054745181948061904,0.0,0.0,-0.08750993573321411,0.0,-0.019542978141151218,0.0,0.0,0.0,0.0035612703245329136,-0.06015715901138419,-0.028772786346071152
2-aminoacetic acid,-0.09223172388694756,0.0,-0.020099651666402346,0.0,-0.2101582812220429,-0.041150079365064075,-0.12464021117691063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0209264673482511,0.0
glibenclamide,-0.11082051226633924,0.0,-0.020524510755952154,0.0,0.0,0.0,0.0,-0.006891163969143293,0.0,0.0,0.0,-0.017851733504959368,-0.08537655725223532,-0.03335320958652662,0.0,0.0,-0.020144900144105582,0.0,0.0,-0.06050578649095184
