solute_name,solute_FP_315,solute_FP_378,solute_FP_1876,solute_FP_222,solute_FP_1762,solute_FP_935,solute_FP_1536,solute_FP_656,solute_FP_114,solute_FP_227,solute_FP_1991,solute_FP_1009,solute_FP_145,solute_FP_883,solute_FP_4,solute_FP_191,solute_FP_310,solute_FP_888,solute_FP_1199,solute_FP_1683
quercetin,-0.4784109777464755,0.014516130987813085,-0.012102370579304989,0.016406391157734106,0.01466141909986618,0.010931666043397854,0.014339428033999867,-0.09263945489661637,-0.003410719201401662,0.011734190794650204,0.005212400973105105,0.006265341007965617,-0.009051822925721353,0.00591488685895456,0.006849887278694951,-0.0067341888366536295,-0.005170835222506867,0.00556065467809276,-0.007091727738447844,0.012355950188357383
paracetamol,0.018314832240253754,0.01832767520738064,-0.017189215008031798,0.023716488147474592,0.016402088573808073,0.016762392243363136,0.012282526741956436,0.00926907913114449,-0.007814303056609857,0.008851258881530577,0.009901461976218202,0.007216229856975797,-0.010884761108978775,0.007221631387085207,0.005986745504433202,0.0602799870400157,-0.006572677643314539,0.005310955166145364,-0.009019798205335617,0.006896209384473107
lovastatin,0.013044554261754953,0.02556007366313431,-0.01979016132404054,0.026527110046630366,0.015331625798975106,0.02101168285839032,0.014043840480322119,-0.04496469650021853,-0.010354670139048804,0.00870492558133926,0.018342842619177565,0.007617694414022314,-0.010736637852341201,0.00860687471460551,0.007574102443148315,-0.0062359842398390436,-0.009332313421433687,0.0032095170772977744,-0.005915598824054045,0.005058077529376368
octadecanoic acid,0.031785911101554425,0.02427288851458115,-0.025969063634450628,0.014694730607807287,0.024820054629429555,0.02626066543656634,0.0156951780221425,0.012191035725166633,-0.011089178121595373,0.007223861926977406,0.008877157777945588,0.009202385925066968,-0.012907597187938033,0.009035235013288912,0.005308861088524282,-0.007045424484992205,-0.008679354342699903,0.0032116870455865866,-0.006478368432193141,0.0036375646633678115
"(2S)-5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)-2,3-dihydrochromen-4-one",0.023725636549211882,0.017269436675051108,-0.014886462356166055,0.02558105289685565,0.021589750620519876,0.01977817966771649,-0.07447104949506736,-0.06392942821047784,-0.008629694197401738,0.008470923940590833,0.015592478831531479,0.008891585381892842,-0.008509386777295732,0.0077968773056220795,0.004210841753262814,-0.011349672407211204,-0.006940419838522628,0.0052703592173825855,-0.008557413357172793,0.006344965700357404
maltol,0.017081886585186182,0.025286931437934142,-0.016769978016094544,0.020222688356854916,0.020781144506327107,0.020493985021552922,0.012665558092594438,-0.07566567520017718,-0.010215636928022343,0.008902368122121865,0.010893628871025822,0.010361231864259865,-0.009014736619730963,0.010671146492106626,0.008938787447155986,-0.010875310032290423,-0.007839188606029402,0.004715216191209318,-0.009256618743139159,0.004250071573741689
diclofenac,0.02144244970155796,0.027253850163797323,-0.02218840912702535,0.021560862716429256,0.022754165566449956,0.01658949941847277,0.016723310875466267,0.01641727934686969,-0.008021874644788114,0.008138470908665114,0.012547570560469467,0.009022540048477821,-0.0097793929603622,0.007898843143251724,0.007499662269684905,-0.006339033939540513,-0.006341757340007461,0.005340859021692268,0.01661614026020834,-0.017480551842374552
"n-(1-oxopentyl)-n-((2-(1h-tetrazol-5-yl)(1,1-biphenyl)-4-yl)methyl)-l-valine",0.028501760378906813,-0.11845137177727642,-0.009743031945642239,-0.17158800881473021,0.015422461846707543,0.012871513312396323,0.00736128029343187,0.0156306901168864,-0.0036037610634230073,0.014869258156638048,0.004908175438710411,0.007026360680368574,-0.004059656528224878,0.010431638035612803,0.005590896049246415,-0.0077985759573615115,0.05226488847963385,0.005117325189676194,0.007941722806123533,0.010483390065880184
"3,4-dimethoxybenzoic acid",0.018310701377281476,0.020918108012474478,-0.014925206889635093,0.024992464489514532,0.010962251172895777,0.017452172688845167,-0.0784230403987931,0.00942454208410254,-0.008622399601936195,0.008814773071499075,0.012528892925815854,0.008634405613720446,-0.007938512335535962,0.004470467132632621,0.003961761668828103,-0.01471849902545955,-0.00645056627960912,0.004447998357354663,-0.010685059136799282,0.007707360245026393
isoniazid,0.01625286568755655,-0.14111344273411305,-0.025479143287629992,0.02544090891693486,0.02258960165174358,0.023476861879735224,0.01557451391421637,0.008031996569534385,-0.013662589895648124,0.009359332639869536,0.011284436333389748,0.0073021521299961025,-0.014692348539610975,0.011874381448724308,0.009078122055188941,-0.008947118897349355,-0.008089518288579711,0.0059009218345863704,-0.00938042642469327,0.004084782157551672
