solute_name,solvent_FP_807,solvent_FP_1057,solvent_FP_695,solvent_FP_1143,solvent_FP_222,solvent_FP_650,solvent_FP_80,solvent_FP_790,solvent_FP_1683,solvent_FP_1238,solvent_FP_565,solvent_FP_794,solvent_FP_1444,solvent_FP_1,solvent_FP_591,solvent_FP_674,solvent_FP_1155,solvent_FP_1088,solvent_FP_1017,solvent_FP_294
"(2S)-5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)-2,3-dihydrochromen-4-one",0.03243120785624342,-0.007899876391932464,-0.0018340888324330864,-0.008458446467183032,-0.003231946131368854,0.007911687461866157,0.0023196526315769003,0.010448508644463539,-0.003647692931865874,-0.0018351676740296953,-0.004601567756076942,0.0024422679466286875,0.0017769758461924669,-0.0030274934951194155,0.0034587982441163538,-0.003798591884276123,-0.0003577689536749469,0.0024452804499430518,0.0014156607338944532,-0.00135819591922752
maltol,0.03636274193559774,-0.008867034860808278,-0.006450915180794255,-0.005959933048120198,0.004379458560826887,0.0026962496698370864,-0.0030223504112004427,0.0035591036074485876,0.0012222098383818565,-0.005012242565734106,-0.0048971088224985014,-0.0016275492415493667,0.004217484889153499,-0.0015679454365580081,0.0011848476755875919,-0.002804234687389278,0.0008224103518352002,0.002580396503564351,-0.00035786676045972864,-0.00034339649874499847
diclofenac,-0.008662105538880496,0.004983120977055477,-0.004382863887616622,0.0043736528418535274,0.0011691405315655177,0.0020766183187074603,-0.001011072006244831,-0.006528348594913041,0.006343297492170679,-0.01349542973204916,-0.002214950325003884,0.002205416504212053,-0.00030348832668460084,-0.002820031910153375,0.0017865289342717003,0.0029127755510453424,0.00041389956000148227,-0.0010087583408012507,0.0003043445971297842,-0.0006873649811868744
"n-(1-oxopentyl)-n-((2-(1h-tetrazol-5-yl)(1,1-biphenyl)-4-yl)methyl)-l-valine",-0.04747101833293224,-0.0022093290099534594,0.006403713018832302,-0.003683359907833316,-0.01310667454233832,-0.003632639367133379,0.020597141655137725,0.02008767513571608,0.012871615986041434,0.0025799821298278405,0.04010606093581069,0.0068736226294277,0.0053405489575137225,0.014999349942978977,0.0038098236340253304,-0.030905190768711083,-0.0037556652902033722,0.0021203562323353253,0.003562954815054885,0.00030085445045187966
"3,4-dimethoxybenzoic acid",0.04112284559359978,-0.021833194743344393,-0.00959460417219816,-0.004988670994479208,0.007946306186377115,0.0016820485757841645,-0.006472227337218755,0.002695107032488977,-0.006199864901072942,-0.007147212562817913,-0.005922836178798434,-0.0013656024078045447,0.001405389238866519,0.0006295158778061704,0.001592730323179694,0.0024501796511924565,-0.0024944265579233617,0.002328035132259174,-0.0033876885833115013,-0.0012206178496910526
isoniazid,0.04259625979854491,-0.016518159360521166,-0.002263512779049962,-0.009206865183750778,0.0027656905184835524,0.015076692982513577,-0.00029962703159071725,-0.0038315897518987185,-0.006242730675903659,-0.023771327739473234,-0.005419512283933728,0.002063378484099303,0.0024276343431120038,-0.0021842892330914765,0.0022117987512547187,0.0031316692066320683,0.006313285826472565,0.004774465141531436,0.003736200583666687,-0.002808921350660967
"3-((6-O-(6-deoxy-α-L-mannopyranosyl)-β-D-glucopyranosyl)oxy)-2-(3,4-dihydroxyphenol)-5,7-dihydroxy-4H-1-benzopyran-4-one",0.06346984325993876,-0.009553693158502158,0.004435972437656477,-0.004682397583012842,0.0014243061383032401,0.0007969239608441311,0.0003405658200569759,-0.004872379069877622,-0.005397274657765852,-0.002687655583574399,-0.006988568491287878,-0.001510450364980248,0.0028110027113091613,-0.0038715793606245693,0.007413125904456267,0.0022083418698561476,0.005513940761624586,0.004367152165411556,-0.0037260918991549783,-0.0020038937546749884
hexanedioic acid,-0.0062456394708124184,0.004567597514496811,0.0012537944351606713,-0.009348907801479527,-0.009172897560824822,-0.004669720095450885,0.004606476834915156,0.020138049646036507,-0.0007318337081005664,-0.0032567108602984257,0.007332679284372716,0.00091954031771877,0.0036961800538256283,0.0033390568638446885,0.0014082301710368482,0.003599779129650642,-0.001984991912943315,-0.0028993703036167065,-0.002279720310780249,0.00134157668221178
indomethacin,-0.023973778456177874,0.005735509035063539,0.007985454657755327,-0.009230010532167703,0.002231336547902174,-0.005023967331544554,0.00444813565575411,-0.03608205865661148,-0.012267892987025941,0.0014989348704693838,-0.009690543078637953,0.002736095043668077,0.0008821612310081642,-0.006278887053288902,0.003404879984639895,0.0015800817421404644,-0.0027027670756797303,0.0019935389425033163,0.003617884437577838,-0.0021186392735277576
"2-hydroxy-1,2-diphenylethanone",0.017930032936166452,-0.011161524359118477,-0.008488827815284216,-0.00758002430215356,-0.0004988194579353451,-0.0018991367737999098,0.0021608919285851396,-0.005639952111247719,-0.006658333261481554,-0.007747717358500571,-0.004988051294218015,-0.0007520753021465983,0.0026055727141768635,-8.270967194827489e-05,0.0016362111048510996,-0.005731789083091978,0.0038485548010658024,0.0022358311138668797,-0.0012893522222801343,0.0010301163686638878
"4,5-bis(hydroxymethyl)-2-methylpyridin-3-ol",0.010007713336135565,0.003973253031381319,0.013757716704803897,-0.003373185250839015,-0.005145994630006499,-0.0028197510888912803,-0.0038857172023972456,-0.004139708702987264,-0.006010004353211116,0.005506827623039498,-0.00441081089272302,-0.0006629877201339696,0.0012418562875882344,-0.00350196445027791,0.003155445757126927,0.002858220006910415,0.0037678812415470014,0.0019123519232016406,-0.004319524890634056,0.002034536343064701
metacetamol,-0.05561900663419591,-0.007509484931791423,-0.013856862486352636,0.0835501410972554,-0.009385113947284683,-0.007533716611155291,0.0031218674981401922,0.0010333588928794293,-0.004466628763439075,0.004879080815100881,-0.003191128684989558,0.0003880755713933266,-0.008405032657194372,-0.004659795925944208,0.001446574944269135,-0.00992839924344379,-0.002157670429200556,-0.0039048584795839105,-0.0030629133702536316,0.0008006054218296616
mefenamic acid,-0.0099794846776349,-0.008307142926369124,-0.0010004101074300702,-0.0013034726762152786,-0.00011389159985810692,-0.0009990820609673393,-0.0007289336695303062,-0.0026844634975823284,-0.005454033421690837,-0.00012990306873325656,-0.003328333489356737,-0.005385655091591161,-0.002083152339854678,-0.0023673940283888443,-0.0029592163091811015,0.002459230211057729,-0.0031285452367374096,0.0023691897478238387,-0.0016572554848826259,-0.00023780488125885302
"2-[(6-oxobenzo[c][2,1]benzoxaphosphinin-6-yl)methyl]butanedioic acid",-0.01382742037293105,0.006885617937549695,0.0009117962270102004,-0.009538533558282627,-0.0013908653241853448,-0.006554752641829206,-0.00024410043162384257,-0.010595922930460801,-0.006213790473880686,-0.006023351259209449,-0.006499590856995686,0.003306499806426473,0.0013612406787686065,-0.002744790171926878,0.003726851388190779,0.0021860961256445284,0.0014646576554150671,-0.0077483736893231665,0.0034437432250827744,0.0012443473725256304
"1,3-benzenedicarboxylic acid",0.044296125971191376,-0.011629324696947992,0.00476919274433525,0.008411837775572795,0.0064933925657204294,-0.004379944845905601,-0.009532285370750498,-0.006538651169718763,-0.006600458038676432,-0.0021880383796927237,-0.00542328630526474,-0.0036785410373396683,-0.0039850191526224635,0.0009142580211916468,4.623915206138916e-05,0.002824419174853924,0.0002594374735025877,0.0026032573624420016,-0.0018475146829797057,-0.0009064886012653845
"2,2-dichloro-n-((1s,2r)-1-(fluoromethyl)-2-hydroxy-2-(4-(methylsulfonyl)phenyl)ethyl)acetamide",0.021282813658010127,-0.00413524622931618,0.00482860675106349,-0.0057446370791913075,0.0035102358371832455,0.0018180087580030885,-0.0018619086328508273,0.005619216692364716,-0.006394527264277712,0.003789200680566864,-0.007669110153459768,0.0005190426692661276,0.0015689791242130013,-0.00453282384151953,0.001526811909368007,0.0028669641971137026,0.002980833792436897,0.004051275778201671,1.373359851641004e-05,-0.0009874020773222585
